image,caption,preprocessed_captions
0000000.png,Rocky mountain slope streaked with snow and Mountain ranges in the background with hazy grey sky,"['rocki', 'mountain', 'slope', 'streak', 'snow', 'mountain', 'rang', 'background', 'hazi', 'grey', 'sky']"
0000003.png,A single mountain covered with dense green trees and grey sky with dense white clouds,"['singl', 'mountain', 'cover', 'dens', 'green', 'tree', 'grey', 'sky', 'dens', 'white', 'cloud']"
0000022.png,Jagged dark mountain range covered with thick white snow and blue sky with low lying white clouds,"['jag', 'dark', 'mountain', 'rang', 'cover', 'thick', 'white', 'snow', 'blue', 'sky', 'low', 'lie', 'white', 'cloud']"
0000027.png,Low lying Mountain range covered with streaks of snow and clear blue sky with low lying white clouds,"['low', 'lie', 'mountain', 'rang', 'cover', 'streak', 'snow', 'clear', 'blue', 'sky', 'low', 'lie', 'white', 'cloud']"
0000032.png,Jagged rocky mountain slope with green thorny bushes and blue sky with white and grey clouds,"['jag', 'rocki', 'mountain', 'slope', 'green', 'thorni', 'bush', 'blue', 'sky', 'white', 'grey', 'cloud']"
0000034.png,Dark rocky mountain covered with streaks of white snow and blue-grey sky with thick white clouds,"['dark', 'rocki', 'mountain', 'cover', 'streak', 'white', 'snow', 'blue-grey', 'sky', 'thick', 'white', 'cloud']"
0000035.png,Mountain slope and a peak covered in thick white snow and blue sky with thin layer of white cloud,"['mountain', 'slope', 'peak', 'cover', 'thick', 'white', 'snow', 'blue', 'sky', 'thin', 'layer', 'white', 'cloud']"
0000036.png,A single mountain peak with covered with thick white snow and hazy grey sky with thick low-lying grey clouds,"['singl', 'mountain', 'peak', 'cover', 'thick', 'white', 'snow', 'hazi', 'grey', 'sky', 'thick', 'low-li', 'grey', 'cloud']"
0000044.png,Rocky mountain peak streaked with snow and green trees in the base and blue sky with grey thick clouds,"['rocki', 'mountain', 'peak', 'streak', 'snow', 'green', 'tree', 'base', 'blue', 'sky', 'grey', 'thick', 'cloud']"
0000045.png,Mountain slope with snow and green grass in the middle and dense grey clouds,"['mountain', 'slope', 'snow', 'green', 'grass', 'middl', 'dens', 'grey', 'cloud']"
0000061.png,Dark rocky mountains with streaks of snow and clear blue sky,"['dark', 'rocki', 'mountain', 'streak', 'snow', 'clear', 'blue', 'sky']"
0000063.png,Dark rocky mountain peak covered with snow and white hazy sky,"['dark', 'rocki', 'mountain', 'peak', 'cover', 'snow', 'white', 'hazi', 'sky']"
0000065.png,Dark mountain range covered with white snow and light blue sky with thin layer of white clouds,"['dark', 'mountain', 'rang', 'cover', 'white', 'snow', 'light', 'blue', 'sky', 'thin', 'layer', 'white', 'cloud']"
0000069.png,Rocky mountain basin with streaks of snow and light blue sky with dense white clouds,"['rocki', 'mountain', 'basin', 'streak', 'snow', 'light', 'blue', 'sky', 'dens', 'white', 'cloud']"
0000071.png,Three jagged rocky mountain peaks with snow and green bushes and light blue sky with grey clouds,"['three', 'jag', 'rocki', 'mountain', 'peak', 'snow', 'green', 'bush', 'light', 'blue', 'sky', 'grey', 'cloud']"
0000073.png,Rocky mountain ranges with streaks of snow and clear light blue sky,"['rocki', 'mountain', 'rang', 'streak', 'snow', 'clear', 'light', 'blue', 'sky']"
0000077.png,Plain mountain with streaks of snow and rocks and dark hazy sky with thick grey clouds,"['plain', 'mountain', 'streak', 'snow', 'rock', 'dark', 'hazi', 'sky', 'thick', 'grey', 'cloud']"
0000078.png,Grassy mountain with plain fields in the base and hazy grey sky,"['grassi', 'mountain', 'plain', 'field', 'base', 'hazi', 'grey', 'sky']"
0000080.png,Dark rocky mountain peak covered with snow and grey sky,"['dark', 'rocki', 'mountain', 'peak', 'cover', 'snow', 'grey', 'sky']"
0000081.png,Dark mountain with trees and dark sky with layers of thick grey clouds,"['dark', 'mountain', 'tree', 'dark', 'sky', 'layer', 'thick', 'grey', 'cloud']"
0000096.png,Dark mountain range with green grass and trees in the base and light blue sky with scattered clouds,"['dark', 'mountain', 'rang', 'green', 'grass', 'tree', 'base', 'light', 'blue', 'sky', 'scatter', 'cloud']"
0000100.png,Sandy Mountain with some green trees and light blue sky with scattered white clouds,"['sandi', 'mountain', 'green', 'tree', 'light', 'blue', 'sky', 'scatter', 'white', 'cloud']"
0000101.png,Dark rocky mountain slope with pine trees and hazy blue sunset sky with pink haze and grey clouds,"['dark', 'rocki', 'mountain', 'slope', 'pine', 'tree', 'hazi', 'blue', 'sunset', 'sky', 'pink', 'haze', 'grey', 'cloud']"
0000110.png,A single rocky mountain peak covered with streaks of snow and some green bushes and hazy grey sky,"['singl', 'rocki', 'mountain', 'peak', 'cover', 'streak', 'snow', 'green', 'bush', 'hazi', 'grey', 'sky']"
0000111.png,A single mountain with dense green forest in the base and low lying mist and a white sky,"['singl', 'mountain', 'dens', 'green', 'forest', 'base', 'low', 'lie', 'mist', 'white', 'sky']"
0000124.png,Dark rocky hill ranges and low lying thick white clouds on the hills,"['dark', 'rocki', 'hill', 'rang', 'low', 'lie', 'thick', 'white', 'cloud', 'hill']"
0000131.png,Rocky mountain range with snow and pine trees in the base and blue sky and dense thick white clouds,"['rocki', 'mountain', 'rang', 'snow', 'pine', 'tree', 'base', 'blue', 'sky', 'dens', 'thick', 'white', 'cloud']"
0000149.png,Rocky grey mountain peaks with snow and dense pine forest in the base and light blue sky with thick white clouds,"['rocki', 'grey', 'mountain', 'peak', 'snow', 'dens', 'pine', 'forest', 'base', 'light', 'blue', 'sky', 'thick', 'white', 'cloud']"
