image,caption,preprocessed_captions
0000000.png,Rocky mountain slope streaked with snow and Mountain ranges in the background with hazy grey sky,"['rocky', 'mountain', 'slope', 'streaked', 'snow', 'mountain', 'range', 'background', 'hazy', 'grey', 'sky']"
0000003.png,A single mountain covered with dense green trees and grey sky with dense white clouds,"['single', 'mountain', 'covered', 'dense', 'green', 'tree', 'grey', 'sky', 'dense', 'white', 'cloud']"
0000022.png,Jagged dark mountain range covered with thick white snow and blue sky with low lying white clouds,"['jagged', 'dark', 'mountain', 'range', 'covered', 'thick', 'white', 'snow', 'blue', 'sky', 'low', 'lying', 'white', 'cloud']"
0000027.png,Low lying Mountain range covered with streaks of snow and clear blue sky with low lying white clouds,"['low', 'lying', 'mountain', 'range', 'covered', 'streak', 'snow', 'clear', 'blue', 'sky', 'low', 'lying', 'white', 'cloud']"
0000032.png,Jagged rocky mountain slope with green thorny bushes and blue sky with white and grey clouds,"['jagged', 'rocky', 'mountain', 'slope', 'green', 'thorny', 'bush', 'blue', 'sky', 'white', 'grey', 'cloud']"
0000034.png,Dark rocky mountain covered with streaks of white snow and blue-grey sky with thick white clouds,"['dark', 'rocky', 'mountain', 'covered', 'streak', 'white', 'snow', 'blue-grey', 'sky', 'thick', 'white', 'cloud']"
0000035.png,Mountain slope and a peak covered in thick white snow and blue sky with thin layer of white cloud,"['mountain', 'slope', 'peak', 'covered', 'thick', 'white', 'snow', 'blue', 'sky', 'thin', 'layer', 'white', 'cloud']"
0000036.png,A single mountain peak with covered with thick white snow and hazy grey sky with thick low-lying grey clouds,"['single', 'mountain', 'peak', 'covered', 'thick', 'white', 'snow', 'hazy', 'grey', 'sky', 'thick', 'low-lying', 'grey', 'cloud']"
0000044.png,Rocky mountain peak streaked with snow and green trees in the base and blue sky with grey thick clouds,"['rocky', 'mountain', 'peak', 'streaked', 'snow', 'green', 'tree', 'base', 'blue', 'sky', 'grey', 'thick', 'cloud']"
0000045.png,Mountain slope with snow and green grass in the middle and dense grey clouds,"['mountain', 'slope', 'snow', 'green', 'grass', 'middle', 'dense', 'grey', 'cloud']"
0000061.png,Dark rocky mountains with streaks of snow and clear blue sky,"['dark', 'rocky', 'mountain', 'streak', 'snow', 'clear', 'blue', 'sky']"
0000063.png,Dark rocky mountain peak covered with snow and white hazy sky,"['dark', 'rocky', 'mountain', 'peak', 'covered', 'snow', 'white', 'hazy', 'sky']"
0000065.png,Dark mountain range covered with white snow and light blue sky with thin layer of white clouds,"['dark', 'mountain', 'range', 'covered', 'white', 'snow', 'light', 'blue', 'sky', 'thin', 'layer', 'white', 'cloud']"
0000069.png,Rocky mountain basin with streaks of snow and light blue sky with dense white clouds,"['rocky', 'mountain', 'basin', 'streak', 'snow', 'light', 'blue', 'sky', 'dense', 'white', 'cloud']"
0000071.png,Three jagged rocky mountain peaks with snow and green bushes and light blue sky with grey clouds,"['three', 'jagged', 'rocky', 'mountain', 'peak', 'snow', 'green', 'bush', 'light', 'blue', 'sky', 'grey', 'cloud']"
0000073.png,Rocky mountain ranges with streaks of snow and clear light blue sky,"['rocky', 'mountain', 'range', 'streak', 'snow', 'clear', 'light', 'blue', 'sky']"
0000077.png,Plain mountain with streaks of snow and rocks and dark hazy sky with thick grey clouds,"['plain', 'mountain', 'streak', 'snow', 'rock', 'dark', 'hazy', 'sky', 'thick', 'grey', 'cloud']"
0000078.png,Grassy mountain with plain fields in the base and hazy grey sky,"['grassy', 'mountain', 'plain', 'field', 'base', 'hazy', 'grey', 'sky']"
0000080.png,Dark rocky mountain peak covered with snow and grey sky,"['dark', 'rocky', 'mountain', 'peak', 'covered', 'snow', 'grey', 'sky']"
0000081.png,Dark mountain with trees and dark sky with layers of thick grey clouds,"['dark', 'mountain', 'tree', 'dark', 'sky', 'layer', 'thick', 'grey', 'cloud']"
0000096.png,Dark mountain range with green grass and trees in the base and light blue sky with scattered clouds,"['dark', 'mountain', 'range', 'green', 'grass', 'tree', 'base', 'light', 'blue', 'sky', 'scattered', 'cloud']"
0000100.png,Sandy Mountain with some green trees and light blue sky with scattered white clouds,"['sandy', 'mountain', 'green', 'tree', 'light', 'blue', 'sky', 'scattered', 'white', 'cloud']"
0000101.png,Dark rocky mountain slope with pine trees and hazy blue sunset sky with pink haze and grey clouds,"['dark', 'rocky', 'mountain', 'slope', 'pine', 'tree', 'hazy', 'blue', 'sunset', 'sky', 'pink', 'haze', 'grey', 'cloud']"
0000110.png,A single rocky mountain peak covered with streaks of snow and some green bushes and hazy grey sky,"['single', 'rocky', 'mountain', 'peak', 'covered', 'streak', 'snow', 'green', 'bush', 'hazy', 'grey', 'sky']"
0000111.png,A single mountain with dense green forest in the base and low lying mist and a white sky,"['single', 'mountain', 'dense', 'green', 'forest', 'base', 'low', 'lying', 'mist', 'white', 'sky']"
0000124.png,Dark rocky hill ranges and low lying thick white clouds on the hills,"['dark', 'rocky', 'hill', 'range', 'low', 'lying', 'thick', 'white', 'cloud', 'hill']"
0000131.png,Rocky mountain range with snow and pine trees in the base and blue sky and dense thick white clouds,"['rocky', 'mountain', 'range', 'snow', 'pine', 'tree', 'base', 'blue', 'sky', 'dense', 'thick', 'white', 'cloud']"
0000149.png,Rocky grey mountain peaks with snow and dense pine forest in the base and light blue sky with thick white clouds,"['rocky', 'grey', 'mountain', 'peak', 'snow', 'dense', 'pine', 'forest', 'base', 'light', 'blue', 'sky', 'thick', 'white', 'cloud']"
0000170.png,One orange mountain with green bushes in the base and light blue sky with a streak of thin grey cloud,"['one', 'orange', 'mountain', 'green', 'bush', 'base', 'light', 'blue', 'sky', 'streak', 'thin', 'grey', 'cloud']"
0000182.png,A single rocky peak with green bushes and cloudy white sky,"['single', 'rocky', 'peak', 'green', 'bush', 'cloudy', 'white', 'sky']"
0000183.png,Rugged mountain slope with green trees and bushes and gray hazy sky with thick grey clouds,"['rugged', 'mountain', 'slope', 'green', 'tree', 'bush', 'gray', 'hazy', 'sky', 'thick', 'grey', 'cloud']"
0000188.png,Rocky rounded red mountain with green bush in the base and clear light blue sky,"['rocky', 'rounded', 'red', 'mountain', 'green', 'bush', 'base', 'clear', 'light', 'blue', 'sky']"
0000196.png,A single rocky mountain peak covered with thick white snow and light blue sky with scattered thin white clouds,"['single', 'rocky', 'mountain', 'peak', 'covered', 'thick', 'white', 'snow', 'light', 'blue', 'sky', 'scattered', 'thin', 'white', 'cloud']"
0000204.png,Rocky Mountain range with streaks of white snow and light blue sky and large thick grey clouds,"['rocky', 'mountain', 'range', 'streak', 'white', 'snow', 'light', 'blue', 'sky', 'large', 'thick', 'grey', 'cloud']"
0000205.png,Jagged mountain slope covered with snow and misty blue sky,"['jagged', 'mountain', 'slope', 'covered', 'snow', 'misty', 'blue', 'sky']"
0000207.png,A single rugged dark mountain peak with snow and hazy grey sky,"['single', 'rugged', 'dark', 'mountain', 'peak', 'snow', 'hazy', 'grey', 'sky']"
0000212.png,Dark mountain slope with clear light blue night sky,"['dark', 'mountain', 'slope', 'clear', 'light', 'blue', 'night', 'sky']"
0000217.png,Rocky mountain peak covered with uneve snow and clear bright blue sky,"['rocky', 'mountain', 'peak', 'covered', 'uneve', 'snow', 'clear', 'bright', 'blue', 'sky']"
0000222.png,Rugged rocky mountain slope with snow covering the peak and green bushes in the base and clear light blue sky,"['rugged', 'rocky', 'mountain', 'slope', 'snow', 'covering', 'peak', 'green', 'bush', 'base', 'clear', 'light', 'blue', 'sky']"
0000234.png,Jagged Mountain peak with sparse green bushes on the top and light blue sky with scattered white and blue clouds,"['jagged', 'mountain', 'peak', 'sparse', 'green', 'bush', 'top', 'light', 'blue', 'sky', 'scattered', 'white', 'blue', 'cloud']"
0000244.png,Mountain with a rounded peak covered uniformly with green grass and light blue sky with thin white clouds and the sun,"['mountain', 'rounded', 'peak', 'covered', 'uniformly', 'green', 'grass', 'light', 'blue', 'sky', 'thin', 'white', 'cloud', 'sun']"
0000256.png,Dark mountain slope with an orange tinted sky with a white cloud,"['dark', 'mountain', 'slope', 'orange', 'tinted', 'sky', 'white', 'cloud']"
0000257.png,Rugged mountain peaks with greenery in the base and thick and large grey clouds over it with light blue sky,"['rugged', 'mountain', 'peak', 'greenery', 'base', 'thick', 'large', 'grey', 'cloud', 'light', 'blue', 'sky']"
0000258.png,A rocky mountain peak with uneven snow and clear light purple sky,"['rocky', 'mountain', 'peak', 'uneven', 'snow', 'clear', 'light', 'purple', 'sky']"
0000259.png,Rocky mountain peak with dense green vegetation and light blue sky with a white cloud,"['rocky', 'mountain', 'peak', 'dense', 'green', 'vegetation', 'light', 'blue', 'sky', 'white', 'cloud']"
0000263.png,Snow capped rugged mountain range and a snow covered mountain slope and hazy grey sky with dense grey clouds,"['snow', 'capped', 'rugged', 'mountain', 'range', 'snow', 'covered', 'mountain', 'slope', 'hazy', 'grey', 'sky', 'dense', 'grey', 'cloud']"
0000268.png,Two red tinted rocky mountain peaks covered with streaks of white snow and light blue sky with large white and grey clouds,"['two', 'red', 'tinted', 'rocky', 'mountain', 'peak', 'covered', 'streak', 'white', 'snow', 'light', 'blue', 'sky', 'large', 'white', 'grey', 'cloud']"
0000280.png,Dark Mountain basin with white snow in the middle and dense greenery around it and thick low lying white clouds on the peak,"['dark', 'mountain', 'basin', 'white', 'snow', 'middle', 'dense', 'greenery', 'around', 'thick', 'low', 'lying', 'white', 'cloud', 'peak']"
0000285.png,Rocky mountain peak covered with snow and hazy sky with thick grey clouds,"['rocky', 'mountain', 'peak', 'covered', 'snow', 'hazy', 'sky', 'thick', 'grey', 'cloud']"
0000298.png,Dark rocky mountain covered unevenly by white snow and gravel and hazy sky with thick grey clouds,"['dark', 'rocky', 'mountain', 'covered', 'unevenly', 'white', 'snow', 'gravel', 'hazy', 'sky', 'thick', 'grey', 'cloud']"
0000299.png,Dark rocky mountain covered with streaks of snow and grey sky with scattered white clouds,"['dark', 'rocky', 'mountain', 'covered', 'streak', 'snow', 'grey', 'sky', 'scattered', 'white', 'cloud']"
0000303.png,Flat mountain top with thick green forest in the base and clear dark teal sky with a layer of dense white clouds,"['flat', 'mountain', 'top', 'thick', 'green', 'forest', 'base', 'clear', 'dark', 'teal', 'sky', 'layer', 'dense', 'white', 'cloud']"
0000311.png,Rocky mountain range with sparse green vegetation around it and bright blue sky with scattered white clouds,"['rocky', 'mountain', 'range', 'sparse', 'green', 'vegetation', 'around', 'bright', 'blue', 'sky', 'scattered', 'white', 'cloud']"
0000315.png,Rounded mountain tops covered with streaks of white snow and blue sky with dense and large white clouds,"['rounded', 'mountain', 'top', 'covered', 'streak', 'white', 'snow', 'blue', 'sky', 'dense', 'large', 'white', 'cloud']"
0000322.png,Dark rocky mountain peak with uneven snow and clear light blue sky,"['dark', 'rocky', 'mountain', 'peak', 'uneven', 'snow', 'clear', 'light', 'blue', 'sky']"
0000336.png,Green mountain slope covered with thick green trees and light blue sky with layers of grey clouds,"['green', 'mountain', 'slope', 'covered', 'thick', 'green', 'tree', 'light', 'blue', 'sky', 'layer', 'grey', 'cloud']"
